,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
FBRX,FBRX,"Forte Biosciences, Inc.",,,,,,
FBSS,"Fauquier Bankshares, Inc.",FBSS,14.27,Financial Services,54150656,8.205866,0.10024,0.00922
FCAP,"First Capital, Inc.",FCAP,55.6,Financial Services,187810128,18.911564,0.09847999,0.01124
FCBP,First Choice Bancorp,FCBP,15.98,Financial Services,186930832,7.7198067,0.09329,0.01229
FCCO,First Community Corporation,FCCO,13.66,Financial Services,102260808,10.580945,0.07738,0.00787
FENC,FENC,Fennec Pharmaceuticals Inc.,,,,,,
FFBW,"FFBW, Inc.",FFBW,8.55,Financial Services,65876724,31.204382,0.02118,0.00638
FFHL,FFHL,"Fuwei Films (Holdings) Co., Ltd.",,,,,,
FLIC,The First of Long Island Corporation,FLIC,14.56,Financial Services,347191936,8.987655,0.104540005,0.00959
FLL,FLL,"Full House Resorts, Inc.",,,,,,
FLMN,Falcon Minerals Corporation,FLMN,2.74,Energy,235621920,11.369295,0.09608,0.06333
FMAO,"Farmers & Merchants Bancorp, Inc.",FMAO,21.9,Financial Services,243725088,13.636364,0.07713,0.0108
FMCI,FMCI,Forum Merger II Corporation,,,,,,
FMNB,Farmers National Banc Corp.,FMNB,10.74,Financial Services,302616672,8.397184,0.124919996,0.01433
FNCB,FNCB Bancorp Inc.,FNCB,5.69,Financial Services,114986936,9.644069,0.087069996,0.00915
FNJN,FNJN,"Finjan Holdings, Inc.",,,,,,
FONR,Fonar Corporation,FONR,23.75,Healthcare,156158864,13.50967,0.13849,0.07191
FORD,FORD,"Forward Industries, Inc.",,,,,,
FORK,Fuling Global Inc.,FORK,2.06,Consumer Cyclical,32555828,2.1661408,0.20035,0.0747
FPAY,FPAY,"FlexShopper, Inc.",,,,,,
FRAF,Franklin Financial Services Corporation,FRAF,24.22,Financial Services,105135144,7.264547,0.11654,0.01179
FREE,FREE,"Whole Earth Brands, Inc.",,,,,,
FRHC,Freedom Holding Corp.,FRHC,19.72,Financial Services,1150527872,46.291077,0.17945999,0.055019997
FRSX,FRSX,Foresight Autonomous Holdings Ltd.,,,,,,
FSBW,"FS Bancorp, Inc.",FSBW,37.17,Financial Services,159144832,5.888783,0.14193,0.01548
FSEA,First Seacoast Bancorp,FSEA,6.25,Financial Services,38021876,367.64703,0.0,0.0
FSFG,"First Savings Financial Group, Inc.",FSFG,36.98,Financial Services,87839336,7.0237417,0.11609,0.01051
FSRV,FSRV,FinServ Acquisition Corp.,,,,,,
FTAC,FinTech Acquisition Corp. III,FTAC,10.78,Financial Services,477419232,119.77777,0.79853,-0.0037200002
FTFT,FTFT,Future FinTech Group Inc.,,,,,,
FUSB,"First US Bancshares, Inc.",FUSB,6.26,Financial Services,38456996,10.096774,0.050380003,0.00528
FUV,FUV,"Arcimoto, Inc.",,,,,,
FVCB,"FVCBankcorp, Inc.",FVCB,10.41,Financial Services,140049888,10.50454,0.08226,0.00884
FVE,FVE,Five Star Senior Living Inc.,,,,,,
FWP,FWP,Forward Pharma A/S,,,,,,
FXNC,First National Corporation,FXNC,13.43,Financial Services,65131340,7.4611115,0.12142,0.01131
GALT,GALT,Galectin Therapeutics Inc.,,,,,,
GAN,GAN,GAN Limited,,,,,,
GCBC,"Greene County Bancorp, Inc.",GCBC,21.27,Financial Services,181080240,9.690206,0.15529999,0.01271
GDYN,GDYN,"Grid Dynamics Holdings, Inc.",,,,,,
GEVO,GEVO,"Gevo, Inc.",,,,,,
GGAL,GGAL,Grupo Financiero Galicia S.A.,,,,,,
GHIV,GHIV,"Gores Holdings IV, Inc.",,,,,,
GIGM,GIGM,GigaMedia Limited,,,,,,
GLBZ,Glen Burnie Bancorp,GLBZ,8.65,Financial Services,24516866,14.1109295,0.04927,0.00448
GLG,GLG,"TD Holdings, Inc.",,,,,,
GLMD,GLMD,Galmed Pharmaceuticals Ltd.,,,,,,
GMBL,GMBL,Esports Entertainment Group Inc.,,,,,,
GMHI,GMHI,"Gores Metropoulos, Inc.",,,,,,
GNCA,GNCA,"Genocea Biosciences, Inc.",,,,,,
GNPX,GNPX,"Genprex, Inc.",,,,,,
GNRS,GNRS,Greenrose Acquisition Corp.,,,,,,
GNSS,GNSS,Genasys Inc.,,,,,,
GNUS,GNUS,"Genius Brands International, Inc.",,,,,,
GRBK,"Green Brick Partners, Inc.",GRBK,13.8,Consumer Cyclical,698513216,11.311476,0.13103,0.05678
GRIL,GRIL,"Muscle Maker, Inc",,,,,,
GRNQ,GRNQ,Greenpro Capital Corp.,,,,,,
GRNV,GRNV,GreenVision Acquisition Corp,,,,,,
GROW,GROW,"U.S. Global Investors, Inc.",,,,,,
GRWG,GRWG,GrowGeneration Corp.,,,,,,
GSMG,GSMG,Glory Star New Media Group Holdings Limited,,,,,,
GTEC,GTEC,Greenland Technologies Holding Corporation,,,,,,
GTIM,GTIM,Good Times Restaurants Inc.,,,,,,
GTYH,GTYH,"GTY Technology Holdings, Inc.",,,,,,
GWGH,"GWG Holdings, Inc",GWGH,6.73,Financial Services,205511312,3.724405,0.042969998,-0.00802
GXGX,GXGX,GX Acquisition Corp.,,,,,,
GYRO,GYRO,"Gyrodyne , LLC",,,,,,
HAPP,Happiness Biotech Group Limited,HAPP,2.64,Healthcare,66000004,3.3124218,0.18061,0.12765999
HBMD,"Howard Bancorp, Inc.",HBMD,10.0,Financial Services,187156992,11.918951,0.05185,0.00671
HBP,HBP,"Huttig Building Products, Inc.",,,,,,
HCAC,HCAC,Hennessy Capital Acquisition Corp. IV,,,,,,
HCCH,HCCH,HL Acquisitions Corp.,,,,,,
HCCO,HCCO,Healthcare Merger Corp.,,,,,,
HEBT,"Hebron Technology Co., Ltd.",HEBT,14.73,Industrials,354227040,87.67857,0.06042,0.017070001
HECCU,HECCU,Hudson Executive Investment Corp.,,,,,,
HEPA,HEPA,"Hepion Pharmaceuticals, Inc.",,,,,,
